id,name,wallet_address,address,password
cb3bbd73-1987-4ff7-a577-7cc9dee32cc8,Robert Taylor,0x742d35Cc6634C0532925a3b844Bc454e4438f44e,12 Main St Boston MA,StrongPass001
0c10fca7-cd84-49c3-b245-f5f015993f81,Lisa Anderson,0x8ba1f10975cd2b0f9db478a49d56395f5c42fb,34 Elm Ave New York NY,SecureKey002
fc3187e3-f788-402b-99f3-56e732f9a222,James White,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,56 Oak Rd Los Angeles CA,MySecret003
e3f50c7e-d457-4ff9-bb8c-20fe22bd1ee7,Patricia Harris,0x514910771af9ca656af840dff83e8264ecf986ca,78 Pine Ln Chicago IL,PassCode004
aa2bb224-7295-4b8c-9ba7-ac588f047be2,Mark Thompson,0x6b3595060da0b895b29c4916ae43d9f1b88b9c5,90 Maple Dr Houston TX,LoginSafe005
da35b898-01a8-4f22-91ee-b3488d4af5f2,Linda Martinez,0xa0b86a21cc0c4d9cbd5a3b3b5b9b5b9b5b9b5b9,11 Birch Pl Phoenix AZ,AuthWord006
4a561c6d-9b4d-4e35-a3fd-a31a71b24385,Paul Garcia,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,22 Cedar Ct Philadelphia PA,KeyGuard007
ec572e3b-73d1-4579-982c-67d05c2e9d7c,Nancy Robinson,0x6c6ee5e31d828de24143540dab8f00a30cdea73,33 Spruce Sq San Antonio TX,CodeLock008
c7fa06d0-0751-438d-897d-9c554465e870,Steven Clark,0x4fabb145d64652a948d72533023f6e7a623c7c53,44 Willow Cir San Diego CA,PassVault009
47346ebe-edbb-4a74-828a-859dc1c27721,Karen Lewis,0x8290333d937c6c0f2bb4f28bc9591079c96d35e,55 Aspen Way Dallas TX,SecureNet010
42c55b95-26f9-4a5a-8ab1-f52dab87a761,John Smith,0x1f573d6fb3a69600e56b7f8b0c6e5b9b5b9b5b9,123 Elm Street Springfield IL,SecurePass123
a89431ff-ab8e-4a2c-a169-d6be4fc5b145,Emily Johnson,0x2f9e3c7a4b5d6e8f1a2c3d4e5f6a7b8c9d0e1f2,456 Oak Avenue Anytown CA,MyPassword456
37afb50e-6755-46cd-931f-2371a3f35dd5,Michael Brown,0x3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2,789 Pine Road Rivertown TX,PassWord789
a02a21c7-650f-4d2a-a280-aced756d5b08,Sarah Davis,0x4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3,101 Maple Lane Lakeview FL,TestPass101
044a7c00-cced-40bd-b380-e42244a21701,David Wilson,0x5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4,202 Birch Blvd Mountain City CO,UserPass202
c1f15867-f3d1-4f61-9cef-d7e18493154c,Jessica Garcia,0x6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5,303 Cedar St Valley Town AZ,LoginPass303
111e2370-0449-457c-8e36-3b273f2b59f0,Christopher Martinez,0x7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6,404 Spruce Way Desert Springs NV,AuthPass404
04c3029f-c7b3-451a-b41d-7453483bc9b3,Amanda Rodriguez,0x8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7,505 Willow Drive Coastal Bay WA,KeyPass505
c94b6250-f095-493f-99d9-4a5849efe118,Daniel Lee,0x9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8,606 Aspen Court Urban Heights NY,CodePass606
995b9750-147a-4ff9-893a-62602b13afa6,Victoria Thompson,0x0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9,707 Hickory Hill Sunset Valley OR,SecureCode707
b9b55453-8760-490c-9cc6-1b255cdf2362,Renee Colon,0x44207584f95ebbde5c36ecdb9ca2edaa4df65b32,"246 Riley Summit Suite 154 South Ralph, VA 53387",CodePass021
71c0624c-48bc-4927-9c43-7c2a84ead441,Kenneth Johnson,0x7ffadae7129b72afadf48befdc00ea7a7bfadee8,"47504 Ellison Lock South Markberg, MP 68805",NetPass022
7a7811cb-0d95-41b0-aaf0-24330c592a26,James Lyons,0x2b5aa041ca2b08e1da5ea2afda0cf193fea5fc6e,"9960 Scott Extension Buckleyville, MA 82429",VaultPass023
